PeakName	Sequence_Length
chr10-126036450-126036986	537
chr10-126040957-126043697	2741
chr10-126049899-126050160	262
chr10-126087330-126087586	257
chr10-126092355-126092900	546
chr10-126101637-126102318	682
chr10-126104655-126105158	504
chr10-126110435-126110790	356
chr10-126135875-126136575	701
chr10-126469177-126469723	547
chr10-126663584-126663617	34
chr10-127135906-127136181	276
chr10-127250742-127250961	220
chr10-127254271-127254705	435
chr10-127293370-127294201	832
chr10-127533946-127534844	899
chr10-127853765-127854389	625
chr10-127854990-127855523	534
chr10-127873106-127873223	118
chr10-127877215-127877216	2
chr10-127878409-127878968	560
chr10-127880373-127881329	957
chr10-127889560-127890057	498
chr10-127899883-127900485	603
chr10-127905828-127908021	2194
chr10-127918574-127920384	1811
chr10-127921538-127922408	871
chr10-127925755-127925761	7
chr10-127926434-127927050	617
chr10-127945311-127946040	730
chr10-127973680-127974070	391
chr10-127977545-127978065	521
chr10-127979023-127979476	454
chr10-127990290-127991660	1371
chr10-128011100-128012116	1017
chr10-128018351-128018651	301
chr10-128035435-128036246	812
chr10-128042059-128042730	672
chr10-128045032-128071717	26686
chr10-128073194-128073571	378
chr10-128076848-128078960	2113
chr10-128080256-128081950	1695
chr10-128084959-128085337	379
chr10-128086013-128087018	1006
chr10-128095247-128096345	1099
chr10-128102956-128103907	952
chr10-128122899-128123231	333
chr10-128124353-128127673	3321
chr10-128147029-128147545	517
chr10-128149405-128150725	1321
chr10-128160976-128161470	495
chr10-128178316-128178758	443
chr10-128180678-128181480	803
chr10-128187254-128188246	993
chr10-128209895-128212562	2668
chr10-129031494-129031971	478
chr10-129035249-129037461	2213
chr10-129042658-129043132	475
chr10-129057276-129058719	1444
chr10-129090607-129091045	439
chr10-129101321-129102040	720
chr10-129140794-129141291	498
chr10-129144496-129144549	54
chr10-129466023-129468260	2238
chr10-129473048-129473449	402
chr10-129517709-129518470	762
chr10-129606140-129606354	215
chr10-129716093-129716773	681
chr10-129757164-129757310	147
chr10-129796566-129797423	858
chr10-129871235-129871633	399
chr10-129958500-129959232	733
chr10-129962985-129965352	2368
chr10-129971541-129972050	510
chr10-130108999-130112250	3252
chr10-130127577-130128217	641
chr10-130135426-130137527	2102
chr10-130140469-130140787	319
chr10-130141862-130142242	381
chr10-130171083-130171648	566
chr10-130179630-130180026	397
chr10-130189673-130190959	1287
chr10-130300603-130302044	1442
chr10-130630084-130630578	495
chr10-130631112-130631904	793
chr10-130636507-130636702	196
chr10-130638995-130639314	320
chr10-131874893-131875335	443
chr10-131885124-131886118	995
chr10-131896154-131897742	1589
chr10-131899292-131906285	6994
chr10-131907448-131908328	881
chr10-131909033-131909772	740
chr10-131910803-131911156	354
chr10-131928223-131929359	1137
chr10-131935084-131935089	6
chr10-131943452-131943670	219
chr10-131960736-131961475	740
chr10-131965058-131965540	483
chr10-131972260-131973796	1537
chr10-131975065-131975426	362
chr10-131979422-131980009	588
chr10-131980747-131983384	2638
chr10-131992704-131993356	653
chr10-132022981-132023503	523
chr10-132142387-132143017	631
chr10-132158022-132160440	2419
chr10-132160947-132163927	2981
chr10-132185291-132187775	2485
chr10-132200061-132200067	7
chr10-132222867-132223876	1010
chr10-132226132-132226744	613
chr10-132229413-132231202	1790
chr10-132231848-132233342	1495
chr10-132248538-132250053	1516
chr10-132254765-132257864	3100
chr10-132306767-132309590	2824
chr10-132310250-132310520	271
chr10-132320032-132320948	917
chr10-132322610-132323184	575
chr10-132328889-132333099	4211
chr10-132334794-132337566	2773
chr10-132352565-132353182	618
chr10-132360761-132361138	378
chr10-132364251-132364662	412
chr10-132371817-132371993	177
chr10-132375425-132376447	1023
chr10-132381892-132382270	379
chr10-132383179-132383372	194
chr10-132384925-132390303	5379
chr10-132391920-132403125	11206
chr10-132405277-132405434	158
chr10-132406926-132409606	2681
chr10-132410256-132413261	3006
chr10-132413837-132413946	110
chr10-132416124-132424408	8285
chr10-132428045-132430333	2289
chr10-132430994-132432606	1613
chr10-132434033-132435305	1273
chr10-132438292-132439239	948
chr10-132442724-132454034	11311
chr10-132457534-132459461	1928
chr10-132497375-132497780	406
chr10-132511058-132511755	698
chr10-132514667-132515651	985
chr10-132517092-132518993	1902
chr10-132535189-132543142	7954
chr10-132543849-132549753	5905
chr10-132550273-132552202	1930
chr10-132554121-132556662	2542
chr10-132558303-132559193	891
chr10-132560021-132560903	883
chr10-132562957-132562986	30
chr10-132563852-132563996	145
chr10-132570624-132572825	2202
chr10-132574365-132577014	2650
chr10-132577551-132580583	3033
chr10-132585622-132591018	5397
chr10-132592768-132594834	2067
chr10-132611858-132612436	579
chr10-132615371-132616968	1598
chr10-132625446-132625917	472
chr10-132627877-132628622	746
chr10-132631048-132631175	128
chr10-132634328-132634727	400
chr10-132637747-132638264	518
chr10-132654674-132655092	419
chr10-132666011-132666294	284
chr10-132684367-132685543	1177
chr10-132915413-132915688	276
chr10-132930322-132930339	18
chr10-132931538-132931786	249
chr10-132940341-132940709	369
chr10-132942418-132942801	384
chr10-132961886-132962848	963
chr10-133008423-133010800	2378
chr10-133012193-133014902	2710
chr10-133143817-133144518	702
chr10-133160004-133160419	416
chr10-133174045-133174489	445
chr10-133229420-133232133	2714
chr10-133234517-133238343	3827
chr10-133240633-133242457	1825
chr10-133245239-133246384	1146
chr10-133246914-133248825	1912
chr10-133249404-133249800	397
chr10-133251503-133255477	3975
chr10-133257099-133264954	7856
chr10-133265906-133281093	15188
chr10-133281823-133281922	100
chr10-133292771-133294864	2094
chr10-133302466-133302755	290
chr10-133304708-133310772	6065
chr10-133312613-133314904	2292
chr10-133315775-133316400	626
chr10-133318372-133319600	1229
chr10-133321019-133321402	384
chr10-133324141-133327075	2935
chr10-133327863-133330420	2558
chr10-133334448-133338745	4298
chr10-133346544-133346758	215
chr10-133349345-133349885	541
chr10-133351111-133351456	346
chr10-133355841-133360628	4788
chr10-133361891-133362275	385
chr10-133372134-133374540	2407
chr10-133377146-133381658	4513
chr10-133388329-133390973	2645
chr10-133391726-133392529	804
chr10-133393357-133395353	1997
chr10-133400833-133401767	935
chr10-133423027-133423787	761
chr10-133437746-133438130	385
chr10-133438839-133439260	422
chr10-133442356-133442824	469
chr10-133453624-133453945	322
chr10-133475227-133476175	949
chr10-133519949-133520962	1014
chr10-133529090-133529262	173
chr11-191758-192571	814
chr11-196910-200012	3103
chr11-201349-211566	10218
chr11-212499-213630	1132
chr11-214841-214850	10
chr11-215379-216193	815
chr11-216985-217734	750
chr11-235402-237896	2495
chr11-250457-251822	1366
chr11-257097-257793	697
chr11-266567-271570	5004
chr11-272585-272647	63
chr11-274917-275204	288
chr11-277308-283125	5818
chr11-283946-300825	16880
chr11-303242-305573	2332
chr11-306731-310365	3635
chr11-311666-318111	6446
chr11-319005-321386	2382
chr11-326126-332105	5980
chr11-332686-333412	727
chr11-335523-337013	1491
chr11-341479-341880	402
chr11-342388-342717	330
chr11-348350-348728	379
chr11-350196-351645	1450
chr11-352500-357065	4566
chr11-357807-358130	324
chr11-359154-359815	662
chr11-361868-362064	197
chr11-364059-364973	915
chr11-368035-372047	4013
chr11-392234-392441	208
chr11-395496-397666	2171
chr11-399020-400754	1735
chr11-403214-410644	7431
chr11-412811-419817	7007
chr11-437342-437601	260
chr11-440175-442944	2770
chr11-446135-452666	6532
chr11-455171-457797	2627
chr11-466098-466552	455
chr11-489173-489319	147
chr11-490167-491324	1158
chr11-492497-495877	3381
chr11-497005-510600	13596
chr11-511430-515436	4007
chr11-516997-519410	2414
chr11-520609-521415	807
chr11-528500-528886	387
chr11-529592-530282	691
chr11-531352-541738	10387
chr11-544163-544779	617
chr11-549730-564465	14736
chr11-565080-565142	63
chr11-565737-570101	4365
chr11-571108-572250	1143
chr11-573196-577582	4387
chr11-578104-579442	1339
chr11-580320-580684	365
chr11-581262-581507	246
chr11-586540-588783	2244
chr11-589742-590315	574
chr11-596505-598650	2146
chr11-602094-602095	2
chr11-605602-622203	16602
chr11-623418-629749	6332
chr11-634199-634286	88
chr11-636397-643785	7389
chr11-644646-644667	22
chr11-653039-653474	436
chr11-662634-663135	502
chr11-686904-687178	275
chr11-690809-698993	8185
chr11-702717-703410	694
chr11-704735-711326	6592
chr11-719512-730159	10648
chr11-737241-738395	1155
chr11-741568-741974	407
chr11-746355-750277	3923
chr11-762340-763194	855
chr11-763788-766231	2444
chr11-771581-771998	418
chr11-772664-773233	570
chr11-775098-780348	5251
chr11-781912-782684	773
chr11-783500-783995	496
chr11-786472-803179	16708
chr11-803735-806562	2828
chr11-807442-814631	7190
chr11-815642-816752	1111
chr11-817401-835495	18095
chr11-836313-851841	15529
chr11-854098-854906	809
chr11-855995-857270	1276
chr11-858030-858753	724
chr11-859433-860959	1527
chr11-861998-862989	992
chr11-863587-864771	1185
chr11-866297-866646	350
chr11-909985-912021	2037
chr11-914888-915006	119
chr11-916902-917061	160
chr11-919031-919634	604
chr11-923993-928931	4939
chr11-932463-933612	1150
chr11-970145-971021	877
chr11-1013422-1013665	244
chr11-1016650-1018099	1450
chr11-1025441-1029988	4548
chr11-1050669-1051870	1202
chr11-1202735-1203461	727
chr11-1259965-1263577	3613
chr11-1264325-1264880	556
chr11-1293583-1293982	400
chr11-1298893-1299586	694
chr11-1302075-1302434	360
chr11-1303344-1303832	489
chr11-1305806-1311964	6159
chr11-1317348-1319292	1945
chr11-1323612-1324184	573
chr11-1330519-1330966	448
chr11-1335345-1339495	4151
chr11-1342337-1342376	40
chr11-1343717-1344001	285
chr11-1380877-1384764	3888
chr11-1387572-1391765	4194
chr11-1392500-1392874	375
chr11-1401575-1402015	441
chr11-1435969-1436339	371
chr11-1446010-1446436	427
chr11-1448985-1449332	348
chr11-1453387-1454315	929
chr11-1455401-1455843	443
chr11-1457144-1457320	177
chr11-1458901-1458902	2
chr11-1460768-1460772	5
chr11-1467841-1468490	650
chr11-1478577-1478861	285
chr11-1486054-1486337	284
chr11-1515396-1516082	687
chr11-1521699-1522322	624
chr11-1523762-1524305	544
chr11-1546194-1549839	3646
chr11-1555428-1555892	465
chr11-1556731-1557653	923
chr11-1558574-1575275	16702
chr11-1584655-1585206	552
chr11-1588847-1589712	866
chr11-1595395-1595839	445
chr11-1598922-1599265	344
chr11-1605830-1606392	563
chr11-1619380-1619932	553
chr11-1628714-1629367	654
chr11-1632532-1632820	289
chr11-1640165-1640430	266
chr11-1652623-1653461	839
chr11-1659402-1659845	444
chr11-1663006-1663123	118
chr11-1690470-1691029	560
chr11-1693126-1694562	1437
chr11-1701021-1701752	732
chr11-1706609-1707247	639
chr11-1722975-1723305	331
chr11-1728848-1730631	1784
chr11-1733197-1734927	1731
chr11-1744167-1745422	1256
chr11-1746352-1754250	7899
chr11-1754930-1764868	9939
chr11-1765980-1768175	2196
chr11-1770184-1773744	3561
chr11-1777309-1784076	6768
chr11-1785621-1786655	1035
chr11-1792430-1792894	465
chr11-1810565-1811319	755
chr11-1824882-1825514	633
chr11-1832201-1833301	1101
chr11-1834937-1835112	176
chr11-1836421-1857555	21135
chr11-1858127-1859088	962
chr11-1862777-1866314	3538
chr11-1867038-1873321	6284
chr11-1874287-1884208	9922
chr11-1887316-1892776	5461
chr11-1896608-1897855	1248
chr11-1912069-1912929	861
chr11-1913748-1914736	989
chr11-1915989-1930697	14709
chr11-1932245-1932251	7
chr11-1934657-1939670	5014
chr11-2092999-2093619	621
chr11-2100321-2100809	489
chr11-2137810-2139544	1735
chr11-2144296-2144451	156
chr11-2151315-2152598	1284
chr11-2153542-2154050	509
chr11-2156265-2156889	625
chr11-2166053-2166695	643
chr11-2186615-2187473	859
chr11-2190672-2191861	1190
chr11-2194709-2195367	659
chr11-2197099-2198127	1029
chr11-2198931-2199408	478
chr11-2213202-2214101	900
chr11-2217068-2217901	834
chr11-2220234-2220238	5
chr11-2260772-2261059	288
chr11-2261976-2262012	37
chr11-2263264-2263303	40
chr11-2265181-2271949	6769
chr11-2287102-2287439	338
chr11-2293750-2294600	851
chr11-2298423-2307280	8858
chr11-2307912-2307917	6
chr11-2308822-2311036	2215
chr11-2311678-2312447	770
chr11-2314397-2321409	7013
chr11-2376343-2397483	21141
chr11-2398365-2408883	10519
chr11-2409563-2411147	1585
chr11-2413095-2413170	76
chr11-2415965-2416187	223
chr11-2418337-2423189	4853
chr11-2424749-2425171	423
chr11-2426292-2426383	92
chr11-2426936-2428814	1879
chr11-2440617-2441470	854
chr11-2442334-2448302	5969
chr11-2459400-2460037	638
chr11-2462307-2463877	1571
chr11-2464551-2468272	3722
chr11-2480167-2482555	2389
chr11-2511061-2512199	1139
chr11-2524841-2528142	3302
chr11-2531130-2534702	3573
chr11-2560914-2561692	779
chr11-2676805-2677605	801
chr11-2681420-2681943	524
chr11-2698220-2701214	2995
chr11-2775095-2775394	300
chr11-2778177-2779466	1290
chr11-2780296-2780633	338
chr11-2791132-2792628	1497
chr11-2794253-2794685	433
chr11-2811948-2813821	1874
chr11-2824749-2827292	2544
chr11-2837013-2837708	696
chr11-2851449-2851478	30
chr11-2858095-2858100	6
chr11-2860560-2861021	462
chr11-2862613-2863009	397
chr11-2868175-2868399	225
chr11-2868917-2868960	44
chr11-2870686-2870706	21
chr11-2882668-2894194	11527
chr11-2895210-2895321	112
chr11-2895991-2900351	4361
chr11-2901078-2903927	2850
chr11-2904560-2904896	337
chr11-2908555-2908614	60
chr11-2909306-2910053	748
chr11-2910617-2915241	4625
chr11-2915778-2916171	394
chr11-2917040-2917598	559
chr11-2918316-2918563	248
chr11-2920288-2920704	417
chr11-2921962-2922560	599
chr11-2923603-2925478	1876
chr11-2926494-2935112	8619
chr11-2936097-2936486	390
chr11-2937003-2937920	918
chr11-2938934-2946399	7466
chr11-2952276-2952802	527
chr11-2958050-2958738	689
chr11-2963456-2963863	408
chr11-2975516-2976583	1068
chr11-2984110-2984116	7
chr11-2987479-2993735	6257
chr11-2995231-2995241	11
chr11-2996064-2996438	375
chr11-3002192-3003198	1007
chr11-3006506-3007647	1142
chr11-3010071-3010875	805
chr11-3013684-3017156	3473
chr11-3021126-3023358	2233
chr11-3030440-3031103	664
chr11-3035956-3038238	2283
chr11-3046194-3046505	312
chr11-3049330-3050855	1526
chr11-3051695-3052336	642
chr11-3056164-3058142	1979
chr11-3058825-3059027	203
chr11-3086053-3088817	2765
chr11-3091378-3093533	2156
chr11-3099185-3099655	471
chr11-3100202-3102226	2025
chr11-3104281-3104601	321
chr11-3109872-3110534	663
chr11-3112064-3113552	1489
chr11-3124354-3124952	599
chr11-3126458-3126899	442
chr11-3127585-3127787	203
chr11-3129450-3129950	501
chr11-3130484-3130648	165
chr11-3133448-3134107	660
chr11-3135046-3137218	2173
chr11-3137827-3138645	819
chr11-3139311-3139316	6
chr11-3153553-3154568	1016
chr11-3155872-3158125	2254
chr11-3159208-3161028	1821
chr11-3163164-3165920	2757
chr11-3169053-3170245	1193
chr11-3171083-3171489	407
chr11-3185006-3185206	201
chr11-3195203-3195672	470
chr11-3202833-3203158	326
chr11-3205409-3205628	220
chr11-3217024-3217726	703
chr11-3226049-3226490	442
chr11-3227891-3228357	467
chr11-3341297-3341671	375
chr11-3378305-3380069	1765
chr11-3408683-3409164	482
chr11-3416889-3417397	509
chr11-3421662-3423888	2227
chr11-3437482-3437726	245
chr11-3454864-3455237	374
chr11-3511419-3512798	1380
chr11-3544727-3545395	669
chr11-3554581-3555028	448
chr11-3564504-3564748	245
chr11-3580643-3581590	948
chr11-3609686-3610045	360
chr11-3614043-3615102	1060
chr11-3626155-3626783	629
chr11-3641793-3642837	1045
chr11-3722922-3723566	645
chr11-3780848-3782673	1826
chr11-3783216-3783456	241
chr11-3784641-3799328	14688
chr11-3807548-3810604	3057
chr11-3824288-3826101	1814
chr11-3826773-3827785	1013
chr11-3830669-3833570	2902
chr11-3834162-3842543	8382
chr11-3848808-3849792	985
chr11-3852565-3857915	5351
chr11-3859134-3862088	2955
chr11-3864531-3868197	3667
chr11-3871036-3871757	722
chr11-3876065-3876185	121
chr11-3876983-3877347	365
chr11-3879158-3880037	880
chr11-3880613-3881150	538
chr11-3882634-3883124	491
chr11-3884467-3884596	130
chr11-3887118-3887350	233
chr11-3888212-3888264	53
chr11-3893488-3895477	1990
chr11-3896556-3897235	680
chr11-3900213-3900732	520
chr11-3901849-3906287	4439
chr11-3907607-3907777	171
chr11-3911612-3911970	359
chr11-3913143-3913443	301
chr11-3914078-3915275	1198
chr11-3915831-3917469	1639
chr11-3919129-3920879	1751
chr11-3921834-3922202	369
chr11-3927965-3928469	505
chr11-3932990-3933482	493
chr11-3934446-3934784	339
chr11-3939000-3939605	606
chr11-3942039-3943617	1579
chr11-3944588-3944849	262
chr11-3946414-3948309	1896
chr11-3948941-3949613	673
chr11-3950656-3951823	1168
chr11-3952762-3953095	334
chr11-3959137-3959404	268
chr11-3961109-3961315	207
chr11-3969476-3970332	857
chr11-3972035-3972258	224
chr11-3983100-3983500	401
chr11-3984839-3985316	478
chr11-3989596-3990530	935
chr11-3994045-3994342	298
chr11-4006146-4006281	136
chr11-4007226-4007763	538
chr11-4048887-4050356	1470
chr11-4057532-4058706	1175
chr11-4064599-4065487	889
chr11-4066067-4067568	1502
chr11-4068751-4070001	1251
chr11-4071944-4073293	1350
chr11-4076852-4076857	6
chr11-4084984-4087288	2305
chr11-4088455-4097468	9014
chr11-4186931-4188011	1081
chr11-4392852-4394264	1413
chr11-4433593-4434288	696
chr11-4436402-4436808	407
chr11-4441471-4441946	476
chr11-4453949-4454438	490
chr11-4455272-4456118	847
chr11-4459366-4459963	598
chr11-4468183-4468556	374
chr11-4482386-4482848	463
chr11-4492954-4493651	698
chr11-4606705-4608892	2188
chr11-4609726-4610911	1186
chr11-4636887-4637304	418
chr11-5280602-5280872	271
chr11-5596471-5596916	446
chr11-5600225-5600742	518
chr11-5624010-5626509	2500
chr11-5631792-5632614	823
chr11-5683090-5685698	2609
chr11-5688623-5692793	4171
chr11-5700196-5701675	1480
chr11-5712427-5712857	431
chr11-5808359-5809626	1268
chr11-5815440-5816118	679
chr11-5818454-5818894	441
chr11-6012041-6012442	402
chr11-6023053-6023325	273
chr11-6094151-6094663	513
chr11-6110240-6110397	158
chr11-6124209-6124686	478
chr11-6129060-6130257	1198
chr11-6142101-6142138	38
chr11-6191642-6192274	633
chr11-6196379-6196742	364
chr11-6200371-6202164	1794
chr11-6203380-6203858	479
chr11-6204627-6205341	715
chr11-6212168-6212509	342
chr11-6225803-6226320	518
chr11-6228472-6228960	489
chr11-6229804-6230994	1191
chr11-6233589-6235907	2319
chr11-6237312-6237624	313
chr11-6240605-6241348	744
chr11-6251103-6251504	402
chr11-6258671-6260245	1575
chr11-6315841-6316200	360
chr11-6319733-6321177	1445
chr11-6353429-6353856	428
chr11-6363032-6363507	476
chr11-6377927-6379859	1933
chr11-6389457-6392507	3051
chr11-6393896-6396224	2329
chr11-6401386-6405934	4549
chr11-6406629-6406839	211
chr11-6411140-6411831	692
chr11-6413054-6416358	3305
chr11-6417923-6420117	2195
chr11-6437784-6439451	1668
chr11-6443190-6443868	679
chr11-6468975-6469585	611
chr11-6472446-6476295	3850
chr11-6478613-6478770	158
chr11-6480257-6482937	2681
chr11-6505590-6506073	484
chr11-6526376-6526839	464
chr11-6531247-6531700	454
chr11-6602657-6607748	5092
chr11-6609429-6613509	4081
chr11-6614477-6614803	327
chr11-6616382-6622552	6171
chr11-6627146-6628198	1053
chr11-6631062-6631291	230
chr11-6632409-6632782	374
chr11-6635065-6636153	1089
chr11-6645841-6649554	3714
chr11-6650481-6651181	701
chr11-6652979-6657116	4138
chr11-6667536-6668438	903
chr11-6670488-6671098	611
chr11-6674202-6674572	371
chr11-6681999-6684338	2340
chr11-6693866-6694368	503
chr11-6703391-6703983	593
chr11-6705873-6706362	490
chr11-6711591-6711915	325
chr11-6733315-6734294	980
chr11-6735262-6735759	498
chr11-6736518-6736901	384
chr11-6737674-6738390	717
chr11-6743372-6744742	1371
chr11-6745566-6747523	1958
chr11-6755282-6755755	474
chr11-6757317-6757855	539
chr11-6772290-6772971	682
chr11-6926275-6926789	515
chr11-7436547-7437152	606
chr11-7442552-7442985	434
chr11-7473764-7474082	319
chr11-7495809-7496776	968
chr11-7498179-7498643	465
chr11-7511400-7514866	3467
chr11-7516377-7516982	606
chr11-7520019-7522533	2515
chr11-7523446-7523807	362
chr11-7524733-7525250	518
chr11-7526790-7527714	925
chr11-7528915-7528918	4
chr11-7531015-7531414	400
chr11-7536135-7536479	345
chr11-7538033-7538387	355
chr11-7548892-7549151	260
chr11-7577753-7578390	638
chr11-7579452-7579853	402
chr11-7591711-7593248	1538
chr11-7600222-7600628	407
chr11-7657357-7657674	318
chr11-7665628-7666188	561
chr11-7670642-7671095	454
chr11-7673136-7674527	1392
chr11-7676983-7677543	561
chr11-7694645-7695041	397
chr11-7892750-7893185	436
chr11-7986277-7988013	1737
chr11-8006393-8006722	330
chr11-8018446-8020210	1765
chr11-8033160-8033559	400
chr11-8168541-8169396	856
chr11-8192526-8192986	461
chr11-8197968-8198318	351
chr11-8201510-8202510	1001
chr11-8206093-8207365	1273
chr11-8209177-8209609	433
chr11-8225559-8225988	430
chr11-8262749-8264198	1450
chr11-8267862-8268725	864
chr11-8327655-8329313	1659
chr11-8331920-8332703	784
chr11-8333954-8334462	509
chr11-8338062-8338440	379
chr11-8340217-8340916	700
chr11-8343339-8343706	368
chr11-8363800-8364605	806
chr11-8384322-8384560	239
chr11-8533358-8533674	317
chr11-8593716-8594591	876
chr11-8604016-8604560	545
chr11-8610703-8611156	454
chr11-8681624-8684847	3224
chr11-8686932-8689692	2761
chr11-8697135-8697467	333
chr11-8699871-8700314	444
chr11-8705004-8705666	663
chr11-8715489-8715980	492
chr11-8718112-8718778	667
chr11-8731851-8732857	1007
chr11-8802365-8802485	121
chr11-8810518-8810924	407
chr11-8812469-8812839	371
chr11-8813596-8813997	402
chr11-8827288-8827531	244
chr11-8832893-8833257	365
chr11-8870722-8871021	300
chr11-8910128-8912321	2194
chr11-8913863-8914829	967
chr11-8959508-8960005	498
chr11-8962749-8965567	2819
chr11-8989475-8989685	211
chr11-9001567-9002323	757
chr11-9002933-9006146	3214
chr11-9015546-9016200	655
chr11-9017259-9018469	1211
chr11-9038401-9039667	1267
chr11-9060523-9061496	974
chr11-9091096-9091918	823
chr11-9130281-9130734	454
chr11-9137537-9138357	821
chr11-9158793-9161012	2220
chr11-9161941-9162684	744
chr11-9163402-9163867	466
chr11-9165809-9166331	523
chr11-9203931-9204279	349
chr11-9215397-9215468	72
chr11-9230953-9232274	1322
chr11-9246208-9247041	834
chr11-9249583-9252065	2483
chr11-9252742-9253774	1033
chr11-9260176-9261255	1080
chr11-9263097-9267428	4332
chr11-9273129-9274354	1226
chr11-9280236-9281283	1048
chr11-9301637-9302136	500
chr11-9311242-9311691	450
chr11-9313469-9315598	2130
chr11-9317128-9317860	733
chr11-9319329-9319394	66
chr11-9347133-9347538	406
chr11-9362525-9365223	2699
chr11-9376018-9376432	415
chr11-9384070-9385772	1703
chr11-9386963-9387300	338
chr11-9392984-9393618	635
chr11-9417258-9418187	930
chr11-9459090-9462800	3711
chr11-9506510-9507194	685
chr11-9510763-9511390	628
chr11-9513417-9513754	338
chr11-9535035-9535818	784
chr11-9551847-9552422	576
chr11-9565889-9566426	538
chr11-9568720-9569655	936
chr11-9572354-9576253	3900
chr11-9577040-9578683	1644
chr11-9600541-9602132	1592
chr11-9613065-9615645	2581
chr11-9631009-9631773	765
chr11-9633647-9634126	480
chr11-9639001-9640781	1781
chr11-9642896-9643285	390
chr11-9660720-9665217	4498
chr11-9667099-9667444	346
chr11-9675009-9675107	99
chr11-9681586-9682360	775
chr11-9688629-9690009	1381
chr11-9691822-9693225	1404
chr11-9702112-9702642	531
chr11-9716471-9717441	971
chr11-9719827-9720570	744
chr11-9729679-9729746	68
chr11-9739079-9739589	511
chr11-9745288-9746232	945
chr11-9748275-9748944	670
chr11-9753178-9753270	93
chr11-9754054-9754313	260
chr11-9755300-9760200	4901
chr11-9855776-9856165	390
chr11-9862083-9862517	435
chr11-9947448-9947913	466
chr11-9972921-9973262	342
chr11-10017914-10018283	370
chr11-10041692-10042410	719
chr11-10208035-10208445	411
chr11-10255657-10256019	363
chr11-10285027-10286150	1124
chr11-10288109-10288569	461
chr11-10289400-10290476	1077
chr11-10292039-10292440	402
chr11-10292979-10295920	2942
chr11-10297812-10298934	1123
chr11-10302162-10308649	6488
chr11-10314532-10315209	678
chr11-10317745-10318353	609
chr11-10322791-10323460	670
chr11-10328126-10328811	686
chr11-10366440-10367088	649
chr11-10377164-10377621	458
chr11-10398421-10398953	533
chr11-10400823-10401384	562
chr11-10406065-10406596	532
chr11-10407112-10407418	307
chr11-10409199-10409487	289
chr11-10413198-10415260	2063
chr11-10435846-10437032	1187
chr11-10441721-10442669	949
chr11-10444765-10445587	823
chr11-10449738-10452802	3065
chr11-10454796-10457109	2314
chr11-10457833-10459921	2089
chr11-10460529-10460992	464
chr11-10488387-10489637	1251
chr11-10502358-10504501	2144
chr11-10505642-10505940	299
chr11-10540249-10542034	1786
chr11-10544759-10545573	815
chr11-10564698-10565201	504
chr11-10581113-10582270	1158
chr11-10592286-10592794	509
chr11-10597743-10598435	693
chr11-10600727-10602469	1743
chr11-10604444-10604799	356
chr11-10605870-10609140	3271
chr11-10612052-10612926	875
chr11-10617510-10617610	101
chr11-10622896-10624807	1912
chr11-10628467-10629018	552
chr11-10639257-10640861	1605
chr11-10641410-10642322	913
chr11-10654066-10655648	1583
chr11-10657364-10658125	762
chr11-10658814-10660080	1267
chr11-10673559-10673953	395
chr11-10674835-10675608	774
chr11-10725010-10726035	1026
chr11-10730128-10730601	474
chr11-10735351-10736556	1206
chr11-10742429-10744275	1847
chr11-10750405-10752261	1857
chr11-10762253-10762589	337
chr11-10770624-10771008	385
chr11-10777288-10778273	986
chr11-10780431-10780702	272
chr11-10786497-10786674	178
chr11-10791807-10800823	9017
chr11-10802493-10803937	1445
chr11-10805222-10810255	5034
chr11-10814861-10815479	619
chr11-10823031-10823684	654
chr11-10824655-10825491	837
chr11-10856422-10859490	3069
chr11-10860707-10860718	12
chr11-10878550-10879284	735
chr11-10891118-10892794	1677
chr11-10897848-10901039	3192
chr11-10902296-10903281	986
chr11-10909562-10909635	74
chr11-10913684-10914609	926
chr11-10916777-10917007	231
chr11-10918670-10919149	480
chr11-10920209-10920631	423
chr11-10930371-10932228	1858
chr11-10933507-10934810	1304
chr11-10973500-10973899	400
chr11-10978151-10978803	653
chr11-10979379-10980014	636
chr11-10990192-10990512	321
chr11-11010527-11010931	405
chr11-11022380-11022780	401
chr11-11028039-11028486	448
chr11-11036767-11037270	504
chr11-11137357-11137708	352
chr11-11148016-11148629	614
chr11-11149157-11150928	1772
chr11-11155862-11157593	1732
chr11-11171761-11172337	577
chr11-11243679-11244621	943
chr11-11311130-11311601	472
chr11-11313437-11313776	340
chr11-11318872-11319391	520
chr11-11370143-11370717	575
chr11-11416519-11417088	570
chr11-11621029-11622425	1397
chr11-11787719-11788181	463
chr11-11798782-11799208	427
chr11-11840942-11845871	4930
chr11-11848457-11849823	1367
chr11-11856444-11858260	1817
chr11-11864830-11865221	392
chr11-11871707-11872496	790
chr11-11884849-11885181	333
chr11-11931451-11931775	325
chr11-11960295-11961138	844
chr11-11966778-11967269	492
chr11-11995556-11996018	463
chr11-12008465-12008828	364
chr11-12024152-12024719	568
chr11-12042054-12042749	696
chr11-12044196-12044830	635
chr11-12046255-12047991	1737
chr11-12066933-12067352	420
chr11-12086143-12088588	2446
chr11-12089290-12090873	1584
chr11-12091662-12092016	355
chr11-12098948-12100335	1388
chr11-12104924-12104997	74
chr11-12109497-12112329	2833
chr11-12118887-12119195	309
chr11-12124325-12125492	1168
chr11-12126416-12127055	640
